Order ID,Product ID,StatusID,Sales,Quantity,Discount,Profit
CA-2018-152156,FUR-BO-10001798,5,261.96,2,0,41.91
CA-2018-152156,FUR-CH-10000454,5,731.94,3,0,219.58
CA-2018-138688,OFF-LA-10000240,5,14.62,2,0,6.87
US-2017-108966,FUR-TA-10000577,5,957.58,5,0.45,-383.03
US-2017-108966,OFF-ST-10000760,5,22.37,2,0.2,2.52
CA-2016-115812,FUR-FU-10001487,5,48.86,7,0,14.17
CA-2016-115812,OFF-AR-10002833,5,7.28,4,0,1.97
CA-2016-115812,TEC-PH-10002275,5,907.15,6,0.2,90.72
CA-2016-115812,OFF-BI-10003910,5,18.5,3,0.2,5.78
CA-2016-115812,OFF-AP-10002892,5,114.9,5,0,34.47
CA-2016-115812,FUR-TA-10001539,5,1706.18,9,0.2,85.31
CA-2016-115812,TEC-PH-10002033,5,911.42,4,0.2,68.36
CA-2019-114412,OFF-PA-10002365,5,15.55,3,0.2,5.44
CA-2018-161389,OFF-BI-10003656,5,407.98,3,0.2,132.59
US-2017-118983,OFF-AP-10002311,5,68.81,5,0.8,-123.86
US-2017-118983,OFF-BI-10000756,3,2.54,3,0.8,-3.82
CA-2016-105893,OFF-ST-10004186,3,665.88,6,0,13.32
CA-2016-167164,OFF-ST-10000107,3,55.5,2,0,9.99
CA-2016-143336,OFF-AR-10003056,3,8.56,2,0,2.48
CA-2016-143336,TEC-PH-10001949,3,213.48,3,0.2,16.01
CA-2016-143336,OFF-BI-10002215,3,22.72,4,0.2,7.38
CA-2018-137330,OFF-AR-10000246,3,19.46,7,0,5.06
CA-2018-137330,OFF-AP-10001492,3,60.34,7,0,15.69
US-2019-156909,FUR-CH-10002774,3,71.37,2,0.3,-1.02
CA-2017-106320,FUR-TA-10000577,3,1044.63,3,0,240.26
CA-2018-121755,OFF-BI-10001634,3,11.65,2,0.2,4.22
CA-2018-121755,TEC-AC-10003027,3,90.57,3,0,11.77
US-2017-150630,FUR-BO-10004834,3,3083.43,7,0.5,-1665.05
US-2017-150630,OFF-BI-10000474,3,9.62,2,0.7,-7.05
US-2017-150630,FUR-FU-10004848,3,124.2,3,0.2,15.52
US-2017-150630,OFF-EN-10001509,3,3.26,2,0.2,1.1
US-2017-150630,OFF-AR-10004042,3,86.3,6,0.2,9.71
US-2017-150630,OFF-BI-10001525,3,6.86,6,0.7,-5.72
US-2017-150630,OFF-AR-10001683,3,15.76,2,0.2,3.55
CA-2019-107727,OFF-PA-10000249,3,29.47,3,0.2,9.95
CA-2018-117590,TEC-PH-10004977,3,1097.54,7,0.2,123.47
CA-2018-117590,FUR-FU-10003664,3,190.92,5,0.6,-147.96
CA-2017-117415,OFF-EN-10002986,5,113.33,9,0.2,35.42
CA-2017-117415,FUR-BO-10002545,5,532.4,3,0.32,-46.98
CA-2017-117415,FUR-CH-10004218,5,212.06,3,0.3,-15.15
CA-2017-117415,TEC-PH-10000486,5,371.17,4,0.2,41.76
CA-2019-120999,TEC-PH-10004093,5,147.17,4,0.2,16.56
CA-2018-101343,OFF-ST-10003479,5,77.88,2,0,3.89
CA-2019-139619,OFF-ST-10003282,5,95.62,2,0.2,9.56
CA-2018-118255,TEC-AC-10000171,5,45.98,2,0,19.77
CA-2018-118255,OFF-BI-10003291,5,17.46,2,0,8.21
CA-2016-146703,OFF-ST-10001713,5,211.96,4,0,8.48
CA-2018-169194,TEC-AC-10002167,2,45,3,0,4.95
CA-2018-169194,TEC-PH-10003988,2,21.8,2,0,6.1
CA-2017-115742,OFF-BI-10004410,2,38.22,6,0,17.96
CA-2017-115742,OFF-LA-10002762,2,75.18,6,0,35.33
CA-2017-115742,FUR-FU-10001706,2,6.16,2,0,2.96
CA-2017-115742,FUR-CH-10003061,2,89.99,1,0,17.1
CA-2018-105816,OFF-FA-10000304,2,15.26,7,0,6.26
CA-2018-105816,TEC-PH-10002447,2,1029.95,5,0,298.69
CA-2018-111682,OFF-ST-10000604,2,208.56,6,0,52.14
CA-2018-111682,OFF-PA-10001569,2,32.4,5,0,15.55
CA-2018-111682,FUR-CH-10003968,2,319.41,5,0.1,7.1
CA-2018-111682,OFF-PA-10000587,2,14.56,2,0,6.99
CA-2018-111682,TEC-AC-10002167,2,30,2,0,3.3
CA-2018-111682,OFF-BI-10001460,2,48.48,4,0.2,16.36
CA-2018-111682,OFF-AR-10001868,2,1.68,1,0,0.84
CA-2017-135545,TEC-AC-10004633,2,13.98,2,0,6.15
CA-2017-135545,OFF-BI-10001078,2,25.82,6,0.2,9.36
CA-2017-135545,OFF-PA-10003892,2,146.73,3,0,68.96
CA-2017-135545,FUR-FU-10000397,2,79.76,4,0,22.33
US-2017-164175,FUR-CH-10001146,2,213.12,5,0.3,-15.22
CA-2016-106376,OFF-AR-10002671,2,1113.02,8,0.2,111.3
CA-2016-106376,TEC-PH-10002726,2,167.97,4,0.2,62.99
CA-2018-119823,OFF-PA-10000482,2,75.88,2,0,35.66
CA-2018-106075,OFF-BI-10004654,2,4.62,1,0.2,1.73
CA-2019-114440,OFF-PA-10004675,2,19.05,3,0,8.76
US-2017-134026,FUR-CH-10000513,2,831.94,8,0.2,-114.39
US-2017-134026,FUR-FU-10003708,2,97.04,2,0.2,1.21
US-2017-134026,OFF-ST-10004123,2,72.78,1,0.2,-18.2
US-2019-118038,OFF-BI-10004182,2,1.25,3,0.8,-1.93
US-2019-118038,FUR-FU-10000260,1,9.71,3,0.6,-5.82
US-2019-118038,OFF-ST-10000615,2,27.24,3,0.2,2.72
US-2016-147606,FUR-FU-10003194,2,19.3,5,0.6,-14.48
CA-2018-127208,OFF-AP-10002118,2,208.16,1,0,56.2
CA-2018-127208,OFF-BI-10002309,2,16.74,3,0,8.04
CA-2016-139451,OFF-AR-10002053,2,14.9,5,0,4.17
CA-2016-139451,OFF-ST-10002370,2,21.39,1,0,6.2
CA-2017-149734,OFF-EN-10000927,2,200.98,7,0.2,62.81
US-2019-119662,OFF-ST-10003656,2,230.38,3,0.2,-48.95
CA-2019-140088,FUR-CH-10000863,2,301.96,2,0,33.22
CA-2019-155558,TEC-AC-10001998,2,19.99,1,0,6.8
CA-2019-155558,OFF-LA-10000134,2,6.16,2,0,2.96
CA-2018-159695,OFF-ST-10003442,3,158.37,7,0.2,13.86
CA-2018-109806,OFF-AR-10004930,3,20.1,3,0,6.63
CA-2018-109806,TEC-PH-10004093,3,73.58,2,0.2,8.28
CA-2018-109806,OFF-PA-10000304,1,6.48,1,0,3.11
CA-2017-149587,OFF-PA-10003177,1,12.96,2,0,6.22
CA-2017-149587,FUR-FU-10003799,1,53.34,3,0,16.54
CA-2017-149587,OFF-BI-10002852,1,32.96,2,0,16.15
US-2019-109484,OFF-BI-10004738,1,5.68,1,0.7,-3.79
CA-2019-161018,FUR-FU-10000629,1,96.53,7,0,40.54
CA-2019-157833,OFF-BI-10001721,1,51.31,3,0.2,17.96
CA-2018-149223,OFF-AP-10000358,1,77.88,6,0,22.59
CA-2018-158568,OFF-PA-10003256,1,64.62,7,0.2,22.62
CA-2018-158568,TEC-AC-10001767,1,95.98,3,0.2,-10.8
CA-2018-158568,OFF-BI-10002609,1,1.79,3,0.8,-3.04
CA-2018-129903,OFF-PA-10004040,1,23.92,4,0,11.72
US-2017-156867,TEC-AC-10001552,1,238.9,6,0.2,-26.88
US-2017-156867,FUR-FU-10004006,1,102.36,3,0.2,-3.84
US-2017-156867,OFF-BI-10002794,5,36.88,3,0.7,-25.82
CA-2019-119004,TEC-AC-10003499,5,74.11,8,0.2,17.6
CA-2019-119004,TEC-PH-10002844,5,27.99,1,0.2,2.1
CA-2019-119004,OFF-AR-10000390,1,3.3,1,0.2,1.07
CA-2017-129476,TEC-AC-10000844,1,339.96,5,0.2,67.99
CA-2019-146780,FUR-FU-10001934,1,41.96,2,0,10.91
CA-2018-128867,OFF-AR-10000380,1,75.96,2,0,22.79
CA-2018-128867,OFF-BI-10003981,1,27.24,6,0,13.35
CA-2016-115259,OFF-FA-10000621,1,40.1,14,0.2,14.53
CA-2016-115259,OFF-EN-10002600,1,4.72,2,0.2,1.65
CA-2016-115259,OFF-PA-10004965,1,23.98,3,0.2,7.49
CA-2016-115259,OFF-EN-10002504,1,130.46,6,0.2,44.03
CA-2017-110457,FUR-TA-10001768,1,787.53,3,0,165.38
US-2017-136476,OFF-BI-10003650,1,157.79,1,0.7,-115.72
CA-2018-103730,FUR-FU-10002157,1,47.04,3,0,18.35
CA-2018-103730,OFF-BI-10003910,1,30.84,4,0,13.88
CA-2018-103730,OFF-ST-10000777,1,226.56,6,0,63.44
CA-2018-103730,OFF-EN-10002500,1,115.02,9,0,51.76
CA-2018-103730,TEC-PH-10003875,1,68.04,7,0,19.73
US-2016-152030,FUR-CH-10004063,1,600.56,3,0.3,-8.58
US-2016-134614,FUR-TA-10004534,1,617.7,6,0.5,-407.68
US-2019-107272,OFF-BI-10003274,1,2.39,2,0.7,-1.83
