Order ID,Order Date,Ship Date,Customer ID,TerritoryID
CA-2016-103800,03-01-16,07-01-16,DP-13000,6
CA-2016-112326,04-01-16,08-01-16,PO-19195,6
CA-2016-141817,05-01-16,12-01-16,MB-18085,6
CA-2016-106054,06-01-16,07-01-16,JO-15145,6
CA-2016-130813,06-01-16,08-01-16,LS-17230,7
CA-2016-167199,06-01-16,10-01-16,ME-17320,6
CA-2016-105417,07-01-16,12-01-16,VS-21820,7
CA-2016-135405,09-01-16,13-01-16,MS-17830,6
CA-2016-149020,10-01-16,15-01-16,AJ-10780,6
CA-2016-130092,11-01-16,14-01-16,SV-20365,6
CA-2016-157147,13-01-16,18-01-16,BD-11605,1
CA-2016-162775,13-01-16,15-01-16,CS-12250,6
CA-2016-118192,13-01-16,18-01-16,MM-17920,8
CA-2016-109232,13-01-16,16-01-16,ND-18370,6
CA-2016-149524,14-01-16,15-01-16,BS-11590,1
CA-2016-103366,15-01-16,17-01-16,EH-13990,6
CA-2016-115791,16-01-16,18-01-16,DL-13315,6
CA-2016-123477,18-01-16,21-01-16,DW-13195,6
CA-2016-146591,19-01-16,20-01-16,TS-21340,10
CA-2016-167927,20-01-16,26-01-16,XP-21865,7
CA-2016-148614,20-01-16,25-01-16,MV-17485,6
US-2016-147627,20-01-16,26-01-16,HL-15040,6
US-2016-147774,20-01-16,26-01-16,MM-18280,6
CA-2016-110422,21-01-16,23-01-16,TB-21400,7
CA-2016-146997,23-01-16,27-01-16,SG-20605,7
CA-2016-102645,23-01-16,28-01-16,IM-15055,6
US-2016-155502,26-01-16,31-01-16,SD-20485,1
CA-2016-167997,26-01-16,29-01-16,CA-11965,1
US-2016-117163,27-01-16,02-02-16,EJ-13720,6
CA-2016-100328,28-01-16,03-02-16,JC-15340,1
CA-2016-134103,30-01-16,04-02-16,MV-18190,1
CA-2016-115161,31-01-16,02-02-16,LC-17050,7
CA-2016-140795,01-02-16,03-02-16,BD-11500,6
CA-2016-123400,02-02-16,09-02-16,EB-13930,6
CA-2016-139857,02-02-16,06-02-16,CD-12790,6
CA-2016-111059,03-02-16,06-02-16,TB-21400,1
CA-2016-107181,04-02-16,08-02-16,DB-13270,6
CA-2016-104808,04-02-16,08-02-16,MH-17440,6
CA-2016-131905,06-02-16,09-02-16,ND-18460,7
CA-2016-108182,06-02-16,10-02-16,DL-13315,8
US-2016-169390,07-02-16,10-02-16,CS-12250,10
CA-2016-107755,07-02-16,12-02-16,CK-12760,6
CA-2016-125759,08-02-16,09-02-16,NM-18445,9
CA-2016-127614,11-02-16,15-02-16,NF-18385,6
CA-2016-168368,11-02-16,15-02-16,GA-14725,6
US-2016-110674,12-02-16,18-02-16,SC-20095,6
CA-2016-121762,14-02-16,18-02-16,ML-17395,9
CA-2016-107706,14-02-16,19-02-16,ST-20530,10
CA-2016-165568,15-02-16,19-02-16,BF-11020,6
CA-2016-122567,16-02-16,21-02-16,MN-17935,6
CA-2016-154165,17-02-16,24-02-16,DL-13315,6
CA-2016-152905,18-02-16,24-02-16,AB-10015,7
US-2016-165589,18-02-16,18-02-16,TB-21595,10
CA-2016-164903,20-02-16,24-02-16,SR-20740,6
CA-2016-109491,20-02-16,26-02-16,LC-16930,1
CA-2016-165540,21-02-16,25-02-16,TM-21010,10
CA-2016-133354,22-02-16,24-02-16,SA-20830,1
CA-2016-103744,23-02-16,27-02-16,MG-17875,6
US-2016-137680,24-02-16,02-03-16,JH-15430,10
CA-2016-156545,27-02-16,03-03-16,JS-16030,6
CA-2016-168312,01-03-16,07-03-16,GW-14605,7
CA-2016-113880,01-03-16,05-03-16,VF-21715,6
CA-2016-104269,01-03-16,06-03-16,DB-13060,6
CA-2016-131009,01-03-16,05-03-16,SC-20380,6
US-2016-143707,01-03-16,05-03-16,HR-14770,1
CA-2016-107524,02-03-16,08-03-16,KN-16705,10
CA-2016-111157,02-03-16,06-03-16,NH-18610,1
CA-2016-155852,03-03-16,07-03-16,AJ-10945,6
CA-2016-127964,03-03-16,08-03-16,AP-10720,6
CA-2016-130421,03-03-16,07-03-16,SC-20020,1
CA-2016-105648,03-03-16,07-03-16,EJ-14155,10
US-2016-127978,03-03-16,08-03-16,JS-15595,6
CA-2016-116239,04-03-16,04-03-16,CL-12565,6
CA-2016-117016,04-03-16,09-03-16,SC-20095,6
CA-2016-169061,05-03-16,08-03-16,AB-10150,6
CA-2016-104563,07-03-16,12-03-16,CM-12715,8
US-2016-131982,07-03-16,11-03-16,NP-18685,7
CA-2016-156587,07-03-16,08-03-16,AB-10015,10
US-2016-140116,10-03-16,17-03-16,KT-16480,1
US-2016-100279,10-03-16,14-03-16,SW-20275,6
US-2016-103338,11-03-16,15-03-16,RB-19435,1
CA-2016-114790,11-03-16,13-03-16,FM-14215,7
CA-2016-166884,11-03-16,16-03-16,CK-12205,6
CA-2016-158337,11-03-16,14-03-16,KA-16525,7
US-2016-125521,14-03-16,19-03-16,CK-12325,10
CA-2016-157623,14-03-16,18-03-16,DK-13225,6
CA-2016-152618,14-03-16,17-03-16,RB-19465,9
CA-2016-100293,14-03-16,18-03-16,NF-18475,6
CA-2016-114510,14-03-16,19-03-16,JF-15295,7
CA-2016-149958,15-03-16,19-03-16,AS-10240,6
CA-2016-157609,16-03-16,21-03-16,KN-16705,7
US-2016-164763,17-03-16,21-03-16,MH-17440,6
US-2016-148838,17-03-16,21-03-16,CP-12340,6
CA-2016-118339,17-03-16,24-03-16,BN-11515,6
CA-2016-158442,17-03-16,17-03-16,AZ-10750,6
