Order ID,Product ID,Customer ID,TerritoryID,Sales,Quantity,Discount,Profit,Status,Order Date,Ship Date,Returned
CA-2018-152156,FUR-BO-10001798,CG-12520,6,261.96,2,0,41.91,Shipped,08-11-18,11-11-18,no
CA-2018-152156,FUR-CH-10000454,CG-12520,6,731.94,3,0,219.58,Shipped,08-11-18,11-11-18,no
CA-2016-112326,OFF-LA-10003223,PO-19195,6,11.78,3,0.2,4.27,Shipped,04-01-16,08-01-16,no
CA-2016-112326,OFF-ST-10002743,PO-19195,6,272.74,3,0.2,-64.77,Shipped,04-01-16,08-01-16,no
CA-2016-112326,OFF-BI-10004094,PO-19195,6,3.54,2,0.8,-5.49,Shipped,04-01-16,08-01-16,no
CA-2018-138688,OFF-LA-10000240,DV-13045,6,14.62,2,0,6.87,Shipped,12-06-18,16-06-18,no
CA-2016-141817,OFF-AR-10003478,MB-18085,6,19.54,3,0.2,4.88,In process,05-01-16,12-01-16,no
US-2017-108966,FUR-TA-10000577,SO-20335,6,957.58,5,0.45,-383.03,Shipped,11-10-17,18-10-17,no
US-2017-108966,OFF-ST-10000760,SO-20335,6,22.37,2,0.2,2.52,Shipped,11-10-17,18-10-17,no
CA-2016-115812,FUR-FU-10001487,BH-11710,6,48.86,7,0,14.17,Shipped,09-06-16,14-06-16,no
CA-2016-115812,OFF-AR-10002833,BH-11710,6,7.28,4,0,1.97,Shipped,09-06-16,14-06-16,no
CA-2016-115812,TEC-PH-10002275,BH-11710,6,907.15,6,0.2,90.72,Shipped,09-06-16,14-06-16,no
CA-2016-115812,OFF-BI-10003910,BH-11710,6,18.5,3,0.2,5.78,Shipped,09-06-16,14-06-16,no
CA-2016-115812,OFF-AP-10002892,BH-11710,6,114.9,5,0,34.47,Shipped,09-06-16,14-06-16,no
CA-2016-115812,FUR-TA-10001539,BH-11710,6,1706.18,9,0.2,85.31,Shipped,09-06-16,14-06-16,no
CA-2016-115812,TEC-PH-10002033,BH-11710,6,911.42,4,0.2,68.36,Shipped,09-06-16,14-06-16,no
CA-2016-135405,OFF-AR-10004078,MS-17830,6,9.34,2,0.2,1.17,Approved,09-01-16,13-01-16,no
CA-2016-135405,TEC-AC-10001266,MS-17830,6,31.2,3,0.2,9.75,Approved,09-01-16,13-01-16,no
CA-2016-149020,OFF-LA-10004272,AJ-10780,6,2.89,1,0,1.36,Cancelled,10-01-16,15-01-16,no
CA-2016-149020,FUR-FU-10000965,AJ-10780,6,51.94,1,0,21.3,Cancelled,10-01-16,15-01-16,no
CA-2016-130092,FUR-FU-10000010,SV-20365,6,9.94,2,0,3.08,Approved,11-01-16,14-01-16,no
CA-2016-157147,OFF-ST-10000078,BD-11605,1,1325.85,5,0,238.65,In process,13-01-16,18-01-16,no
CA-2016-157147,FUR-BO-10003034,BD-11605,1,334,3,0.15,3.93,In process,13-01-16,18-01-16,no
CA-2016-157147,OFF-AR-10003514,BD-11605,1,19.9,5,0,6.57,In process,13-01-16,18-01-16,no
CA-2016-162775,OFF-EN-10001990,CS-12250,6,11.36,2,0,5.34,In process,13-01-16,15-01-16,no
